,Original,Media,STD
677,[7774],[7518.33333333],[1681.83770341]
678,[9442],[7843.5],[1641.29242312]
679,[6250],[7525.5],[1537.95900761]
680,[6732],[7342.16666667],[1485.27817005]
681,[9600],[7434.83333333],[1593.97717751]
682,[8214],[7328.83333333],[1483.64966664]
683,[9732],[7575.16666667],[1622.42253399]
684,[9922],[7965.5],[1571.67429543]
685,[9148],[8335.33333333],[1218.43665358]
686,[5858],[8194.5],[1401.61416685]
687,[4922],[7951.66666667],[1691.76783994]
688,[8530],[8010.33333333],[1699.20405609]
689,[8302],[8054.33333333],[1699.3641235]
690,[7956],[7930.5],[1642.23398289]
691,[7734],[8054.16666667],[1557.89098891]
692,[8466],[8198.66666667],[1503.57714881]
693,[7934],[8059.83333333],[1437.90262873]
694,[8184],[8057.33333333],[1437.63627549]
695,[11946],[8241.83333333],[1774.65785862]
696,[11012],[8332.66666667],[1892.45801362]
697,[10130],[8414.5],[1951.23851112]
698,[8156],[8606.],[1783.04417933]
699,[7192],[8795.16666667],[1445.04934382]
700,[6562],[8631.16666667],[1582.97222357]
701,[6094],[8447.16666667],[1744.76890021]
702,[8546],[8496.33333333],[1737.96952235]
703,[8218],[8536.66666667],[1724.23144056]
704,[8498],[8539.33333333],[1724.13695582]
705,[8740],[8606.5],[1714.08159878]
706,[9186],[8690.],[1716.03348134]
707,[6278],[8217.66666667],[1505.49003398]
708,[5340],[7745.],[1437.27026623]
709,[8872],[7640.16666667],[1285.34493661]
710,[7724],[7604.16666667],[1275.59681813]
711,[9170],[7769.],[1343.48705038]
712,[8036],[7891.83333333],[1289.39434925]
713,[8406],[8084.5],[1162.85827324]
714,[5462],[7827.5],[1373.33598485]
715,[5822],[7627.83333333],[1481.3294909]
716,[12928],[7997.],[2128.52650698]
717,[14762],[8498.83333333],[2892.43545802]
718,[14878],[8973.16666667],[3431.79883478]
719,[9672],[9256.],[3327.76452401]
720,[8432],[9513.66666667],[3109.53663117]
721,[7624],[9409.66666667],[3153.50758055]
722,[6750],[9328.5],[3212.81537539]
723,[9912],[9390.33333333],[3216.62554221]
724,[13104],[9812.66666667],[3352.47797995]
725,[12022],[10114.],[3376.96765538]
726,[10952],[10571.5],[3045.00307508]
727,[9944],[10915.],[2669.90942986]
728,[7282],[10444.5],[2778.20506148]
729,[7360],[9827.66666667],[2544.33757528]
730,[10764],[9484.83333333],[2026.430531]
731,[12510],[9721.33333333],[2207.75580556]
732,[12496],[10060.],[2301.70087307]
733,[9102],[10183.16666667],[2196.64462444]
734,[9930],[10448.16666667],[1919.1021496]
735,[8462],[10327.33333333],[1999.87860238]
736,[6964],[9815.66666667],[2010.31790038]
737,[10464],[9685.83333333],[1902.27872125]
738,[13764],[9920.16666667],[2219.22647594]
739,[12216],[10109.5],[2316.2419602]
740,[10704],[10394.66666667],[2140.46678568]
741,[12780],[10846.33333333],[2009.75255525]
742,[8156],[10629.],[2155.21498611]
743,[6876],[10159.5],[2315.87707713]
744,[10224],[9970.16666667],[2197.33134975]
745,[13104],[10303.66666667],[2351.85510273]
746,[11592],[10442.16666667],[2376.65608608]
747,[10180],[10585.33333333],[2296.93761871]
748,[9010],[10755.83333333],[2068.24307668]
749,[6080],[10390.5],[2472.21933787]
750,[5716],[9719.83333333],[2563.79469584]
751,[10688],[9592.5],[2464.57462677]
752,[16080],[10040.5],[3093.3827468]
753,[13676],[10115.16666667],[3175.24921952]
754,[11000],[10352.16666667],[3121.40486533]
755,[13034],[10865.33333333],[3001.86709576]
756,[8186],[10695.5],[3097.57478448]
757,[9102],[10362.],[3029.37689363]
758,[14116],[10572.33333333],[3205.0684671]
759,[13304],[10832.66666667],[3295.89136332]
760,[16856],[11486.5],[3659.61191435]
761,[14152],[12159.16666667],[3299.65887585]
